t_c,p_dbar,pH,H+  (nmol/KgSW),fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),s,SubFlag,long,lat
1.729,10,7.963,10.9,497.2,499.3764786,2131.7,75.6,30.2,36.7,0.5,0.0,0.0,17.820,1.85,1.15,502.8,29.738,Phosp Set to 0. Si Set to 0. ,-91.81716,57.49392
-1.039,20,8.050,8.9,388.5,390.2182723,2103.0,85.2,26.0,44.0,0.5,0.0,0.0,16.652,2.07,1.29,392.4,31.531,Phosp Set to 0. Si Set to 0. ,-91.81716,57.49392
-1.279,30,8.037,9.2,400.8,402.6272312,2113.3,82.7,27.0,42.9,0.4,0.0,0.0,16.885,2.00,1.25,404.8,31.725,Phosp Set to 0. Si Set to 0. ,-91.81716,57.49392
-1.279,36,8.013,9.7,423.0,424.8792417,2115.6,78.5,28.5,40.9,0.4,0.0,0.0,17.245,1.90,1.18,427.2,31.721,Phosp Set to 0. Si Set to 0. ,-91.81716,57.49392
6.109,3,8.027,9.4,433.1,434.8515405,1973.4,79.2,23.4,32.0,0.8,0.0,0.0,17.809,2.01,1.21,438.9,22.398,Phosp Set to 0. Si Set to 0. ,-92.07298,57.39878
3.358,8,8.014,9.7,437.4,439.2418457,2051.4,81.7,25.4,37.7,0.7,0.0,0.0,17.258,2.02,1.25,442.6,27.154,Phosp Set to 0. Si Set to 0. ,-92.07298,57.39878
4.326,3,8.018,9.6,429.4,431.1688144,2007.1,82.6,24.1,37.9,0.7,0.0,0.0,17.011,2.05,1.26,434.7,26.612,Phosp Set to 0. Si Set to 0. ,-91.97612,57.39594
-0.195,20,8.038,9.2,399.9,401.6621006,2085.7,83.6,26.0,42.6,0.5,0.0,0.0,16.787,2.03,1.27,404.0,30.787,Phosp Set to 0. Si Set to 0. ,-91.97612,57.39594
3.573,3,8.072,8.5,376.8,378.4208238,2026.5,95.1,21.6,44.3,0.8,0.0,0.0,15.919,2.35,1.45,381.3,27.953,Phosp Set to 0. Si Set to 0. ,-91.86702,57.39382
-0.171,10,8.097,8.0,346.7,348.2107011,2070.1,95.2,22.5,48.1,0.6,0.0,0.0,15.783,2.32,1.45,350.3,30.836,Phosp Set to 0. Si Set to 0. ,-91.86702,57.39382
-0.8,0,7.966,10.8,606.9,609.6556877,2233.4,40.8,45.5,9.1,0.3,0.0,0.0,25.312,1.08,0.60,613.1,11.10277,Phosp Set to 0. Si Set to 0. ,-91.71280556,57.16013889
-0.8,3.5,8.408,3.9,210.3,211.2879782,2137.2,107.6,15.8,22.3,0.7,0.0,0.0,18.600,2.86,1.59,212.5,11.05,Phosp Set to 0. Si Set to 0. ,-91.71280556,57.16013889
-1,0,8.085,8.2,421.2,423.0868741,2247.4,69.0,30.4,23.3,0.4,0.0,0.0,21.175,1.77,1.04,425.4,18.77878,Phosp Set to 0. Si Set to 0. ,-91.40486111,57.24561111
-1,2,8.269,5.4,264.6,265.7865848,2174.9,104.4,19.0,35.5,0.6,0.0,0.0,17.348,2.67,1.57,267.3,19.48441,Phosp Set to 0. Si Set to 0. ,-91.40486111,57.24561111
-1.55,0,8.087,8.2,385.0,386.7651276,2235.7,88.0,26.8,39.6,0.5,0.0,0.0,17.621,2.18,1.34,388.8,28,Phosp Set to 0. Si Set to 0. ,-90.9214,57.2986
-1.55,2,8.126,7.5,350.0,351.5483356,2228.0,96.2,24.4,43.0,0.5,0.0,0.0,16.931,2.38,1.47,353.4,28,Phosp Set to 0. Si Set to 0. ,-90.9214,57.2986
0.48,0,7.856,13.9,860.9,864.6564969,1997.2,19.6,65.5,0.0,0.1,0.0,0.0,24.647,0.04,0.03,870.1,0.04,Phosp Set to 0. Si Set to 0. ,-91.71280556,57.16013889
-0.12,3,7.957,11.0,661.3,664.2437105,2029.4,26.6,50.9,1.1,0.2,0.0,0.0,27.225,0.63,0.35,668.2,2.08,Phosp Set to 0. Si Set to 0. ,-91.71280556,57.16013889
0,0,7.929,11.8,659.6,662.5385519,1818.6,20.6,51.2,0.0,0.1,0.0,0.0,26.601,0.01,0.01,666.6,0.01,Phosp Set to 0. Si Set to 0. ,-92.31252778,56.98455556
