t_c,p_dbar,pH,H+  (nmol/KgSW),fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),s,SubFlag,long,lat,date_time,avg_pco2sw
0.211,2,8.020223551,9.545011343,398.4487782,400.2022535,1940.106007,71.91148153,25.92258243,36.25866095,0.477759672,0,0,17.41660528,1.7783096,1.096228662,402.6283764,27.928,Phosp Set to 0. Si Set to 0.,-86.87,56.5,2018-06-21 01:10:41 UTC,381.0437408
-1.516,2,8.050084514,8.910775162,374.2583187,375.9444484,2006.734365,79.9564961,25.61363481,42.04754241,0.441479747,0,0,16.63848955,1.955526748,1.2160757,377.9487511,30.863,Phosp Set to 0. Si Set to 0.,-86.5,57.18,2018-06-22 02:41:50 UTC,563.3479686
-1.604,2,8.034886421,9.228127352,390.6228351,392.3848048,2031.114057,79.70400772,26.68048827,42.30913791,0.427589133,0,0,16.66194571,1.941872851,1.210649402,394.4621433,31.777,Phosp Set to 0. Si Set to 0.,-86.03,57.77,2018-06-22 15:13:42 UTC,417.5641303
-1.413,2,8.237360654,5.789477169,223.1504593,224.1543985,1831.657824,109.6446192,15.31259603,58.27336765,0.676165203,0,0,13.62947238,2.693938901,1.669459624,225.359325,29.74,Phosp Set to 0. Si Set to 0.,-86.23,58.47,2018-06-23 03:10:29 UTC,510.7098631
-1.495,2,8.050587594,8.900459044,376.3046711,377.9995348,2026.290432,82.70411112,25.59758494,43.74650319,0.448540146,0,0,16.39484761,2.015172416,1.256273799,380.016968,31.731,Phosp Set to 0. Si Set to 0.,-86.3,58.73,2018-06-23 19:22:38 UTC,400.7562278
-1.457,2,8.192094244,6.425482662,261.7171939,262.8953488,1952.332664,110.9116782,17.76204238,58.48278466,0.62510956,0,0,13.97791676,2.700864472,1.684359881,264.3023041,31.86,Phosp Set to 0. Si Set to 0.,-87.44,58.48,2018-06-24 06:19:08 UTC,560.7920903
-1.516,2,8.102533146,7.897085751,326.9661567,328.4392231,1985.113919,91.37227537,22.25259658,48.70321658,0.504726699,0,0,15.48337017,2.225879508,1.387821732,330.1893728,31.787,Phosp Set to 0. Si Set to 0.,-88.58,58.24,2018-06-24 13:44:55 UTC,385.0596644
-0.978,2,8.092276085,8.085817122,336.0722521,337.5752879,1970.960699,86.97655688,22.60129965,45.188347,0.511918124,0,0,15.95083718,2.132240687,1.323750987,339.4486011,30.204,Phosp Set to 0. Si Set to 0.,-89.78,58.02,2018-06-25 04:15:50 UTC,298.7462915
0.105,3,8.218745714,6.043023534,243.4461099,244.5189957,1901.161085,121.0878674,15.56708601,63.31829649,0.787881342,0,0,13.17862267,2.949044871,1.83932103,245.987035,31.495,Phosp Set to 0. Si Set to 0.,-81.96,63.19,2018-06-27 12:32:20 UTC,272.2954928
1.362,2,8.144388269,7.171528535,286.039612,287.2789803,1850.692535,100.5656083,17.58189564,53.01622096,0.745682674,0,0,14.28757574,2.464325851,1.531725384,289.1702773,29.983,Phosp Set to 0. Si Set to 0.,-91.95,59.98,2018-06-28 17:16:08 UTC,279.5523696
6.966,2,7.984485676,10.36368786,482.853131,484.7947777,1960.35211,72.17968719,25.60610421,26.02454492,0.773140076,0,0,18.80420924,1.852030811,1.107991896,489.5663972,20.171,Phosp Set to 0. Si Set to 0.,-91.96,57.22,2018-06-30 13:55:45 UTC,453.9579984
6.109,3,8.016968696,9.616815949,440.9101888,442.703326,1971.880365,80.23303321,23.78966799,31.3601833,0.802471838,0,0,17.69729721,2.034302183,1.2308092,446.8035204,22.398,Phosp Set to 0. Si Set to 0.,-92.07,57.4,2018-07-01 11:30:00 UTC,425.6552373
4.326,3,8.01246349,9.717096383,436.7911943,438.6100833,2005.820187,83.45171703,24.51718077,37.48483524,0.716072379,0,0,16.91367671,2.074081732,1.277329872,442.1859462,26.612,Phosp Set to 0. Si Set to 0.,-91.98,57.4,2018-07-01 12:27:23 UTC,411.0086378
3.573,3,8.067795093,8.554702421,383.6053155,385.2188452,2025.370049,95.92504297,21.96110138,43.93841275,0.768568044,0,0,15.84222497,2.369866594,1.465989333,388.193955,27.953,Phosp Set to 0. Si Set to 0.,-91.87,57.39,2018-07-01 13:19:59 UTC,390.8052502
